음식이름,에너지(kcal),수분(g),단백질(g),지방(g),회분(g),탄수화물(g),당류(g),식이섬유(g),칼슘(mg),철(mg),인(mg),칼륨(mg),나트륨(mg),비타민 A(μg RAE),레티놀(μg),베타카로틴(μg),티아민(mg),리보플라빈(mg),니아신(mg),비타민 C(mg),비타민 D(μg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),폐기율(%),출처코드,원산지국코드,품목제조보고번호,데이터생성방법코드,제공기관코드,표본개수
가나쵸코우유,58.0,,2.07,2.2,,7.67,7.0,,,,,,38.0,,,,,,,,,5.0,1.77,0.0,,3.0,,,2.0,1471000.0,1
가닥김치,27.0,,1.7,0.78,,3.18,2.38,,,,,,0.0,,,,,,,,,1.0,0.05,0.0,,3.0,,,2.0,1471000.0,1
가든샐러드,91.5,,5.385,3.875,,8.62,4.665,,,,,,214.5,,,,,,,,,72.96,0.74,0.0,,3.0,,,2.0,1471000.0,2
가래떡,195.0,51.1,3.92,0.51,0.71,43.73,0.0,0.6,5.0,0.25,43.0,23.0,241.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.19,0.0,,3.0,,,1.0,1471000.0,1
가래떡꼬치,207.0,,4.0,0.0,,47.0,0.0,,,,,,257.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가래떡떡볶이,191.0,,3.3449999999999998,2.02,,39.86,6.66,,,,,,490.0,,,,,,,,,0.0,0.32499999999999996,0.0,,3.0,,,2.0,1471000.0,2
가래떡밀떡볶이,232.0,,5.9,2.0,,47.6,11.0,,,,,,1022.0,,,,,,,,,2.1,0.4,0.0,,3.0,,,2.0,1471000.0,1
가래떡볶이,191.0,,3.61,2.41,,38.86,5.12,,,,,,581.0,,,,,,,,,0.0,0.51,0.0,,3.0,,,2.0,1471000.0,1
가래떡쫄면떡볶이,226.0,,5.8,1.5,,47.3,11.2,,,,,,828.0,,,,,,,,,1.9,0.2,0.0,,3.0,,,2.0,1471000.0,1
가리비듬뿍해물탕,66.0,,11.0,1.0,,3.0,1.0,,,,,,405.0,,,,,,,,,13.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가리비미역국,17.0,,1.63,0.88,,0.69,0.0,,,,,,248.0,,,,,,,,,2.95,0.15,0.0,,3.0,,,2.0,1471000.0,1
가리비죽,48.0,,2.0,0.6,,9.0,0.0,,,,,,200.0,,,,,,,,,6.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가마솥돼지국밥,37.0,,3.0,2.6,,0.6,0.0,,,,,,208.0,,,,,,,,,7.4,0.88,0.04,,3.0,,,2.0,1471000.0,1
가마솥설렁탕,178.0,,6.67,4.45,,28.34,0.56,,,,,,567.0,,,,,,,,,21.67,1.67,0.0,,3.0,,,2.0,1471000.0,1
가마솥순대국밥,215.0,,6.0,11.0,,23.0,2.0,,,,,,570.0,,,,,,,,,35.0,5.0,0.0,,3.0,,,2.0,1471000.0,1
가마솥쌀눈밥,160.0,,3.0,1.2,,34.0,0.0,,,,,,23.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가마솥찰연잎밥,169.0,,4.35,1.09,,35.65,0.43,,,,,,104.0,,,,,,,,,0.0,0.0,0.0,,3.0,,,2.0,1471000.0,1
가마솥취나물볶음,76.0,,7.06,3.53,,4.41,1.76,,,,,,476.0,,,,,,,,,17.65,1.0,0.06,,3.0,,,2.0,1471000.0,1
가마장작고등어구이,230.0,,20.0,15.0,,0.0,0.0,,,,,,90.0,,,,,,,,,70.0,4.0,0.0,,3.0,,,2.0,1471000.0,1
가마장작동태구이,76.0,,17.0,0.5,,0.0,0.0,,,,,,72.0,,,,,,,,,50.0,0.1,0.0,,3.0,,,2.0,1471000.0,1
가마장작삼치구이,200.0,,19.0,13.0,,0.0,0.0,,,,,,60.0,,,,,,,,,70.0,3.0,0.0,,3.0,,,2.0,1471000.0,1
가마장작오징어통구이,92.0,,15.6,1.4,,3.1,0.0,,,,,,44.0,,,,,,,,,233.0,0.4,0.0,,3.0,,,2.0,1471000.0,1
가마장작참조기구이,110.0,,20.0,2.0,,0.0,0.0,,,,,,70.0,,,,,,,,,60.0,0.5,0.0,,3.0,,,2.0,1471000.0,1
가마장작청어구이,158.0,,18.0,9.0,,0.0,0.0,,,,,,90.0,,,,,,,,,60.0,2.0,0.0,,3.0,,,2.0,1471000.0,1
가문어조림,130.0,,10.0,7.0,,7.0,7.0,,,,,,310.0,,,,,,,,,50.0,0.0,1.0,,3.0,,,2.0,1471000.0,1
가바쌀현미밥,175.0,,2.7,1.02,,38.79,0.0,2.3,,,,,6.0,,,,,,,,,0.0,0.12,0.0,,3.0,,,2.0,1471000.0,1
가벼운한끼샐러드,82.0,,8.3,4.115,,2.955,1.58,,,,,,167.5,,,,,,,,,19.155,0.9450000000000001,0.0,,3.0,,,2.0,1471000.0,2
